Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR474,"Social Work Centenary | University of Edinburgh, The",https://www.sw100.ed.ac.uk/,CAHSS,Social & Political Sciences,Research activity,Jamie Smith,"Site celebrating 100 years of Social Work at the University of Edinburgh, 1918-2018.",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR475,"Making Visable Teacher Agency for Inclusion | University of Edinburgh, The",https://www.team4change.education.ed.ac.uk/,CAHSS,Education,Research activity,Natasha Pantic,"Research team based at The University of Edinburgh working on topics related to teachers’ agency, inclusive practice and teacher professional development.",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR476,"Telling Stories | University of Edinburgh, The",https://www.tellingstories.education.ed.ac.uk/,CAHSS,Education,Research activity,Pauline Sangster,"Research project exploring how primary and secondary pupils’ knowledge about language can be enhanced through adopting an exploratory, problem-solving approach to reading texts and to writing. ",Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR477,"Pròiseact Thiriodh / Project Tiree | University of Edinburgh, The",https://www.tiriodh.ed.ac.uk/,CAHSS,LLC,Research activity,,Site of a project to develop and demonstrate technologies for providing access to a searchable database of audio recordings made over the previous 40 years on the island of Tiree,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR478,ECA Tours | Edinburgh College of Art,https://www.tours.eca.ed.ac.uk/,CAHSS,ECA,Service,Sharon Pringle,"Site enabling virtual tours of the studios, libraries and performance spaces across the Edinburgh College of Art campus.",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR479,"CAHSS Virtual Tours | University of Edinburgh, The",https://www.tours.hss.ed.ac.uk/,CAHSS,Top-level,Service,DET,"Site enabling virtual tours of the College of Arts, Humanities and Social Science campus buildings.",Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR480,"TOWER BLOCK International",https://www.towerblock.org/,CAHSS,ECA,Research activity,Miles Glendinning,Research initiative aimed at documenting and disseminating information about the global post-World War II mass housing drive.,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - manual,
WAR481,"Travel Behaviours Network",https://www.travelbehaviours.net/,CAHSS,ECA,Research activity,,Research network covering 5 research projects from universities across the UK each examining travel behaviours and how to reduce energy use from transport.,Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - manual,
WAR482,Talbot Rice Gallery,https://www.trg.ed.ac.uk/,CAHSS,ECA,Centre/Institute,Melissa MacRobert,Talbot Rice Gallery is the public art gallery of the University of Edinburgh,Active,,Active UKWA crawl,100749,,,08/11/2019,Sixmonthly,Capped large,Umbrella - auto,
WAR483,"CRITIQUE Centre for Ethics and Critical Thought | University of Edinburgh, The",https://critique.sps.ed.ac.uk/,CAHSS,Social & Political Sciences,Centre/Institute,,,Active,,Active UKWA crawl,,253319,,22/09/2024,Monthly,Capped,Umbrella - auto,
WAR484,Watching: an opera for children | Edinburgh College of Art,https://www.watching.eca.ed.ac.uk/,CAHSS,ECA,Research activity,Dee Isaacs,Site of a project aimed at raising awareness of the links between sleep and academic performance through opera.,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR485,"Network for Working-Class Classicists",https://www.workingclassclassics.uk/,CAHSS,HCA,Research activity,Mirko Canervaro,Research network exploring intersections of class and Classics studies in UK universities.,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - manual,
WAR486,"World As We Feel It, The | University of Edinburgh, The",https://www.worldaswefeelit.hss.ed.ac.uk/,CAHSS,Education,Research activity,Marlies Kustatscher,Research network for academics with an interest in emotions,Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR487,"Experimental Pragmatics 2019 | University of Edinburgh, The",https://www.xprag2019.ppls.ed.ac.uk/,CAHSS,"Philosophy, Psychology & Language Sciences",Research activity,Hannah Rohde,"Site of the 8th Experimental Pragmatics conference, hosted by the School of Philosophy, Psychology, and Language Sciences at the University of Edinburgh, June 19-21 2019.",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR488,Tower Block | Edinburgh College of Art,https://www.towerblock.eca.ed.ac.uk/,CAHSS,ECA,Research activity,Miles Glendinning,,Active,,Active UKWA crawl,153795,,,31/01/2022,Quarterly,Capped,Umbrella - auto,
WAR489,"Engaging with Edinburgh - Prototype for a University-Wide Online Interdisciplinary Course on the City of Edinburgh | University of Edinburgh, The",https://engaging-edinburgh.ed.ac.uk/,CAHSS,Education,Research activity,Sian Bayne; Susan Cunningham-Burley,"Site of a project to research options for designing an online, interdisciplinary course about Edinburgh. Conducted as part of the University of Edinburgh Employ.ed internship programme in 2018,",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
